Brand,Cigar Name,Factory Name,Ring Gauge,Length (mm),Length (inches),Vitola/Shape,Status,Release Year,Discontinued Year,Construction,Notes,cigar_name_norm,brand_norm,Description,Length mm,Length inches,Vitola,Assets,Package,Stock,Packaging
Cohiba,Espléndidos,Julieta No.2,47.0,178.0,7,Churchill,Current,1989,,Handmade,,espléndidos,cohiba,,,,,,,,
Cohiba,Exquisitos,Seoane,33.0,126.0,5,Small Panetela,Current,1989,,Handmade,,exquisitos,cohiba,,,,,,,,
Cohiba,Robustos,Robustos,50.0,124.0,4⅞,Robusto,Current,1989,,Handmade,,robustos,cohiba,,,,,,,,
Cohiba,Siglo I,Perlas,40.0,102.0,4,Petit Corona,Current,1994,,Handmade,Siglo line,siglo i,cohiba,,,,,,,,
Cohiba,Siglo II,Marevas,42.0,129.0,5⅛,Petit Corona,Current,1994,,Handmade,Siglo line,siglo ii,cohiba,,,,,,,,
Cohiba,Siglo III,Coronas Grandes,42.0,155.0,6⅛,Long Corona,Current,1994,,Handmade,Siglo line,siglo iii,cohiba,,,,,,,,
Cohiba,Siglo IV,Coronas Gordas,46.0,143.0,5⅝,Grand Corona,Current,1994,,Handmade,Siglo line,siglo iv,cohiba,,,,,,,,
Cohiba,Siglo V,Dalias,43.0,170.0,6¾,Lonsdale,Current,2003,,Handmade,Siglo line,siglo v,cohiba,,,,,,,,
Cohiba,Siglo VI,Cañonazo,52.0,150.0,5⅞,Toro,Current,2003,,Handmade,Siglo line,siglo vi,cohiba,,,,,,,,
Cohiba,Genios,Genios,52.0,140.0,5½,Robusto Extra,Current,2007,,Handmade,Maduro - 5yr aged wrapper,genios,cohiba,,,,,,,,
Cohiba,Mágicos,Mágicos,52.0,115.0,4½,Petit Robusto,Current,2007,,Handmade,Maduro - 5yr aged wrapper,mágicos,cohiba,,,,,,,,
Cohiba,Secretos,Secretos,40.0,110.0,4⅜,Petit Corona,Current,2007,,Handmade,Maduro - 5yr aged wrapper,secretos,cohiba,,,,,,,,
Cohiba,BHK 52,Laguito No.4,52.0,119.0,4⅝,Petit Robusto,Current,2010,,Handmade,Behike - Medio Tiempo leaf,bhk 52,cohiba,,,,,,,,
Cohiba,BHK 54,Laguito No.5,54.0,144.0,5⅝,Robusto Extra,Current,2010,,Handmade,Behike - Medio Tiempo leaf,bhk 54,cohiba,,,,,,,,
Cohiba,BHK 56,Laguito No.6,56.0,166.0,6½,Double Robusto,Current,2010,,Handmade,Behike - Medio Tiempo leaf,bhk 56,cohiba,,,,,,,,
Cohiba,Pirámides Extra,Piramides Extra,54.0,160.0,6¼,Pyramid,Current,2012,,Handmade,Classic range,pirámides extra,cohiba,,,,,,,,
Cohiba,Medio Siglo,Medio Siglo,52.0,102.0,4,Petit Robusto,Current,2016,,Handmade,,medio siglo,cohiba,,,,,,,,
Cohiba,Novedosos,Robustos No.2,50.0,156.0,6⅛,Robusto Extra,Current,2019,,Handmade,Habanos Specialist,novedosos,cohiba,,,,,,,,
Cohiba,Ambar,Placeres,53.0,132.0,5¼,Robusto Extra,Current,2021,,Handmade,Habanos Specialist,ambar,cohiba,,,,,,,,
Cohiba,BHK 58,Laguito No.7,58.0,178.0,7,Double Robusto,Current,2025,,Handmade,Behike - Medio Tiempo leaf,bhk 58,cohiba,,,,,,,,
Cuaba,Salomones,Salomones,57.0,184.0,7¼,Double Perfecto,Current,1996,,Handmade,All figurado shapes,salomones,cuaba,,,,,,,,
Cuaba,Exclusivos,Exclusivos,46.0,143.0,5⅝,Perfecto,Current,1996,,Handmade,All figurado shapes,exclusivos,cuaba,,,,,,,,
Cuaba,Generosos,Generosos,42.0,132.0,5¼,Perfecto,Current,1996,,Handmade,All figurado shapes,generosos,cuaba,,,,,,,,
Cuaba,Distinguidos,Distinguidos,52.0,162.0,6⅜,Perfecto,Current,1996,,Handmade,All figurado shapes,distinguidos,cuaba,,,,,,,,
Cuaba,Divinos,Divinos,43.0,101.0,4,Petit Perfecto,Current,1996,,Handmade,All figurado shapes,divinos,cuaba,,,,,,,,
Cuaba,Tradicionales,Tradicionales,42.0,142.0,5⅝,Perfecto,Current,1996,,Handmade,All figurado shapes,tradicionales,cuaba,,,,,,,,
Cuaba,Piramides,Piramides,54.0,152.0,6,Pyramid,Current,2008,,Handmade,All figurado shapes,piramides,cuaba,,,,,,,,
Delicados,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1980s,Handmade,,coronas,delicados,,,,,,,,
Delicados,Panetelas,Conchitas,35.0,127.0,5,Short Panetela,Discontinued,Pre-1960,1980s,Handmade,,panetelas,delicados,,,,,,,,
Diplomáticos,No.1,Cervantes,42.0,165.0,6½,Lonsdale,Current,1966,,Handmade,Medium strength,no.1,diplomáticos,,,,,,,,
Diplomáticos,No.3,Coronas,42.0,142.0,5⅝,Corona,Current,1966,,Handmade,Medium strength,no.3,diplomáticos,,,,,,,,
Diplomáticos,No.4,Marevas,42.0,129.0,5⅛,Petit Corona,Current,1966,,Handmade,Medium strength,no.4,diplomáticos,,,,,,,,
Diplomáticos,No.2,Piramides,52.0,156.0,6⅛,Pyramid,Current,1976,,Handmade,Medium strength,no.2,diplomáticos,,,,,,,,
Diplomáticos,No.5,Perlas,40.0,102.0,4,Petit Corona,Current,1980,,Handmade,Medium strength,no.5,diplomáticos,,,,,,,,
Diplomáticos,No.7,Culebras,39.0,146.0,5¾,Culebra,Current,1980,,Handmade,Medium strength - twisted triple,no.7,diplomáticos,,,,,,,,
Don Manuel,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1970s,Handmade,,petit coronas,don manuel,,,,,,,,
El Retiro,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1970s,Handmade,,petit coronas,el retiro,,,,,,,,
El Rey del Mundo,Tainos,Geniales,54.0,150.0,5⅞,Robusto Extra,Current,2007,,Handmade,Light to medium,tainos,el rey del mundo,,,,,,,,
El Rey del Mundo,Demi Tasse,Entreactos,30.0,100.0,3⅞,Small Panetela,Current,Pre-1960,,Handmade,Light to medium,demi tasse,el rey del mundo,,,,,,,,
El Rey del Mundo,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Light to medium,petit coronas,el rey del mundo,,,,,,,,
El Rey del Mundo,Lunch Club,Franciscanos,40.0,116.0,4⅝,Petit Corona,Current,Pre-1960,,Handmade,Light to medium,lunch club,el rey del mundo,,,,,,,,
El Rey del Mundo,Choix Supreme,Robustos,50.0,124.0,4⅞,Robusto,Current,Pre-1960,,Handmade,Light to medium,choix supreme,el rey del mundo,,,,,,,,
Eminencia,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1980s,Handmade,,coronas,eminencia,,,,,,,,
Flamenco,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1970s,Handmade,,petit coronas,flamenco,,,,,,,,
Flor de Rafael González,Lonsdales,Cervantes,42.0,165.0,6½,Lonsdale,Discontinued,Pre-1960,1980s,Handmade,,lonsdales,flor de rafael gonzález,,,,,,,,
Flor de Rafael González,Coronas Extra,Coronas Gordas,46.0,143.0,5⅝,Grand Corona,Discontinued,Pre-1960,1980s,Handmade,,coronas extra,flor de rafael gonzález,,,,,,,,
Flor del Fumar,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1970s,Handmade,,coronas,flor del fumar,,,,,,,,
Fonseca,Cosacos,Cosacos,42.0,135.0,5⅜,Corona,Current,Pre-1960,,Handmade,Tissue wrapped - light strength,cosacos,fonseca,,,,,,,,
Fonseca,Delicias,Standard,40.0,123.0,4⅞,Petit Corona,Current,Pre-1960,,Handmade,Tissue wrapped - short filler,delicias,fonseca,,,,,,,,
Fonseca,KDT Cadetes,Cadetes,36.0,115.0,4½,Short Panetela,Current,Pre-1960,,Handmade,Tissue wrapped - light strength,kdt cadetes,fonseca,,,,,,,,
Fonseca,Fonseca No.1,Cazadores,43.0,162.0,6⅜,Lonsdale,Current,Pre-1960,,Handmade,Tissue wrapped - light strength,fonseca no.1,fonseca,,,,,,,,
Gispert,Magnum,Coronas Gordas,46.0,143.0,5⅝,Grand Corona,Current,Pre-1960,,Handmade,Medium strength,magnum,gispert,,,,,,,,
H. Upmann,Magnum 50,Magnum 50,50.0,160.0,6¼,Double Robusto,Current,2008,,Handmade,Light to medium,magnum 50,h. upmann,,,,,,,,
H. Upmann,Half Corona,Half Corona,44.0,90.0,3½,Petit Corona,Current,2011,,Handmade,Light to medium,half corona,h. upmann,,,,,,,,
H. Upmann,Magnum 54,Magnum 54,54.0,120.0,4¾,Robusto,Current,2016,,Handmade,Light to medium,magnum 54,h. upmann,,,,,,,,
H. Upmann,Connossieur No.2,Bohemios,51.0,134.0,5¼,Robusto,Current,2020,,Handmade,Light to medium,connossieur no.2,h. upmann,,,,,,,,
H. Upmann,Connoisseur No.1,Hermosos No.4,48.0,127.0,5,Corona Extra,Current,Pre-1960,,Handmade,Light to medium,connoisseur no.1,h. upmann,,,,,,,,
H. Upmann,Coronas Major,Eminentes,42.0,132.0,5¼,Corona,Current,Pre-1960,,Handmade,Light to medium - tubes,coronas major,h. upmann,,,,,,,,
H. Upmann,Epicures,Epicures,35.0,110.0,4⅜,Short Panetela,Current,Pre-1960,,Handmade,Light to medium,epicures,h. upmann,,,,,,,,
H. Upmann,Magnum 46,Coronas Gordas,46.0,143.0,5⅝,Grand Corona,Current,Pre-1960,,Handmade,Light to medium,magnum 46,h. upmann,,,,,,,,
H. Upmann,Majestic,Cremas,40.0,140.0,5½,Corona,Current,Pre-1960,,Handmade,Light to medium,majestic,h. upmann,,,,,,,,
H. Upmann,Regalias,Petit Coronas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Línea Retro - tins,regalias,h. upmann,,,,,,,,
H. Upmann,Sir Winston,Julieta No.2,47.0,178.0,7,Churchill,Current,Pre-1960,,Handmade,Light to medium,sir winston,h. upmann,,,,,,,,
H. Upmann,Upmann No.2,Piramides,52.0,156.0,6⅛,Pyramid,Current,Pre-1960,,Handmade,Light to medium,upmann no.2,h. upmann,,,,,,,,
H. Upmann,Coronas Junior,Cadetes,36.0,115.0,4½,Short Panetela,Current,Pre-1960,,Handmade,Light to medium - tubes,coronas junior,h. upmann,,,,,,,,
Henry Clay,Brevas,Franciscanos,40.0,116.0,4⅝,Petit Corona,Discontinued,Pre-1960,1970s,Handmade,Named after American statesman,brevas,henry clay,,,,,,,,
Hoyo de Monterrey,Petit Robustos,Petit Robustos,50.0,102.0,4,Petit Robusto,Current,2004,,Handmade,Light to medium,petit robustos,hoyo de monterrey,,,,,,,,
Hoyo de Monterrey,Epicure Especial,Geniales,54.0,150.0,5⅞,Robusto Extra,Current,2008,,Handmade,Light to medium,epicure especial,hoyo de monterrey,,,,,,,,
Hoyo de Monterrey,Epicure No.1,Cervantes,42.0,165.0,6½,Lonsdale,Current,Pre-1960,,Handmade,Light to medium,epicure no.1,hoyo de monterrey,,,,,,,,
Hoyo de Monterrey,Epicure No.2,Robustos,50.0,124.0,4⅞,Robusto,Current,Pre-1960,,Handmade,Light to medium,epicure no.2,hoyo de monterrey,,,,,,,,
Hoyo de Monterrey,Le Hoyo de San Juan,Coronitas,40.0,117.0,4⅝,Petit Corona,Current,Pre-1960,,Handmade,Light to medium,le hoyo de san juan,hoyo de monterrey,,,,,,,,
Hoyo de Monterrey,Le Hoyo des Dieux,Petit Coronas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Light to medium,le hoyo des dieux,hoyo de monterrey,,,,,,,,
Jorge Juan,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1970s,Handmade,,petit coronas,jorge juan,,,,,,,,
José Gener,Petit Bouquet,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1970s,Handmade,Pre-revolution brand,petit bouquet,josé gener,,,,,,,,
José Gener,Brevas,Franciscanos,40.0,116.0,4⅝,Petit Corona,Discontinued,Pre-1960,1970s,Handmade,Pre-revolution brand,brevas,josé gener,,,,,,,,
José L. Piedra,Petit Cazadores,Cazadores,43.0,162.0,6⅜,Lonsdale,Current,Pre-1960,,Machine-made,Volume brand - budget,petit cazadores,josé l. piedra,,,,,,,,
José L. Piedra,Conservas,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Machine-made,Volume brand - budget,conservas,josé l. piedra,,,,,,,,
José L. Piedra,Cremas,Cremas,40.0,140.0,5½,Corona,Current,Pre-1960,,Machine-made,Volume brand - budget,cremas,josé l. piedra,,,,,,,,
José L. Piedra,Brevas,Franciscanos,40.0,116.0,4⅝,Petit Corona,Current,Pre-1960,,Machine-made,Volume brand - budget,brevas,josé l. piedra,,,,,,,,
José L. Piedra,Petit Cetros,Petit Cetros,40.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Machine-made,Volume brand - budget,petit cetros,josé l. piedra,,,,,,,,
La Corona,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1960s,Handmade,One of oldest Cuban brands,coronas,la corona,,,,,,,,
La Corona,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1960s,Handmade,One of oldest Cuban brands,petit coronas,la corona,,,,,,,,
La Escepción,Lonsdales,Cervantes,42.0,165.0,6½,Lonsdale,Discontinued,Pre-1960,1980s,Handmade,,lonsdales,la escepción,,,,,,,,
La Escepción,Cazadores,Cazadores,43.0,162.0,6⅜,Lonsdale,Discontinued,Pre-1960,1980s,Handmade,,cazadores,la escepción,,,,,,,,
La Flor de Cano,Petit Coronas,Standard,40.0,123.0,4⅞,Petit Corona,Current,2002,,Short-filler Handmade,Cedar wrapped - medium strength,petit coronas,la flor de cano,,,,,,,,
La Flor de Cano,Elegidos,Lirios,50.0,127.0,5,Robusto,Current,2020,,Short-filler Handmade,Medium strength - tubes available,elegidos,la flor de cano,,,,,,,,
La Gloria Cubana,Tainos,Robustos,50.0,124.0,4⅞,Robusto,Current,2003,,Handmade,Medium to full strength,tainos,la gloria cubana,,,,,,,,
La Gloria Cubana,Glorias Extra,Geniales,54.0,150.0,5⅞,Robusto Extra,Current,2012,,Handmade,Medium to full strength,glorias extra,la gloria cubana,,,,,,,,
La Gloria Cubana,Medaille d'Or No.1,Cervantes,42.0,165.0,6½,Lonsdale,Current,Pre-1960,,Handmade,Medium to full strength,medaille d'or no.1,la gloria cubana,,,,,,,,
La Gloria Cubana,Medaille d'Or No.2,Piramides,52.0,156.0,6⅛,Pyramid,Current,Pre-1960,,Handmade,Medium to full strength,medaille d'or no.2,la gloria cubana,,,,,,,,
La Gloria Cubana,Medaille d'Or No.3,Coronas,42.0,142.0,5⅝,Corona,Current,Pre-1960,,Handmade,Medium to full strength,medaille d'or no.3,la gloria cubana,,,,,,,,
La Gloria Cubana,Medaille d'Or No.4,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Medium to full strength,medaille d'or no.4,la gloria cubana,,,,,,,,
La Intimidad,Petit Corona,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1970s,Handmade,,petit corona,la intimidad,,,,,,,,
La Intimidad,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1970s,Handmade,,coronas,la intimidad,,,,,,,,
La Meridiana,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1970s,Handmade,,coronas,la meridiana,,,,,,,,
La Veracidad,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1970s,Handmade,,coronas,la veracidad,,,,,,,,
Los Statos de Lujo,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1980s,Handmade,,coronas,los statos de lujo,,,,,,,,
María Guerrero,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Discontinued,Pre-1960,1990s,Handmade,,petit coronas,maría guerrero,,,,,,,,
María Guerrero,Panetelas,Conchitas,35.0,127.0,5,Short Panetela,Discontinued,Pre-1960,1990s,Handmade,,panetelas,maría guerrero,,,,,,,,
Montecristo,Especial,Laguito No.1,38.0,192.0,7½,Long Panetela,Current,1969,,Handmade,,especial,montecristo,,,,,,,,
Montecristo,Especiales No.2,Laguito No.2,38.0,152.0,6,Panetela,Current,1969,,Handmade,,especiales no.2,montecristo,,,,,,,,
Montecristo,Joyitas,Laguito No.3,26.0,115.0,4½,Small Panetela,Current,1969,,Handmade,,joyitas,montecristo,,,,,,,,
Montecristo,A,Gran Corona,47.0,235.0,9¼,Giant Corona,Current,1971,,Handmade,Giant size,a,montecristo,,,,,,,,
Montecristo,Petit Tubos,Marevas,42.0,129.0,5⅛,Petit Corona,Current,1980s,,Handmade,Aluminum tubes,petit tubos,montecristo,,,,,,,,
Montecristo,Edmundo,Edmundo,52.0,135.0,5⅜,Robusto,Current,2004,,Handmade,,edmundo,montecristo,,,,,,,,
Montecristo,Petit Edmundo,Petit Edmundo,52.0,110.0,4⅜,Petit Robusto,Current,2006,,Handmade,,petit edmundo,montecristo,,,,,,,,
Montecristo,Eagle,Geniales,54.0,150.0,5⅞,Robusto Extra,Current,2009,,Handmade,Línea Open - lighter,eagle,montecristo,,,,,,,,
Montecristo,Junior,Trabucos,38.0,110.0,4⅜,Short Panetela,Current,2009,,Handmade,Línea Open - lighter,junior,montecristo,,,,,,,,
Montecristo,Master,Robustos,50.0,124.0,4⅞,Robusto,Current,2009,,Handmade,Línea Open - lighter,master,montecristo,,,,,,,,
Montecristo,Regata,Forum,46.0,135.0,5⅜,Petit Pyramid,Current,2009,,Handmade,Línea Open - lighter,regata,montecristo,,,,,,,,
Montecristo,Double Edmundo,Dobles,50.0,155.0,6⅛,Robusto Extra,Current,2013,,Handmade,,double edmundo,montecristo,,,,,,,,
Montecristo,Petit No.2,Petit No.2,52.0,120.0,4¾,Petit Pyramid,Current,2013,,Handmade,,petit no.2,montecristo,,,,,,,,
Montecristo,Media Corona,Half Corona,44.0,90.0,3½,Petit Corona,Current,2015,,Handmade,,media corona,montecristo,,,,,,,,
Montecristo,Dumas,Prominente Corto,49.0,130.0,5⅛,Corona Extra,Current,2020,,Handmade,Línea 1935 - full strength,dumas,montecristo,,,,,,,,
Montecristo,Wide Edmundo,Wide Edmundo,54.0,125.0,4⅞,Robusto,Current,2021,,Handmade,,wide edmundo,montecristo,,,,,,,,
Montecristo,Slam,Idilicos,52.0,142.0,5⅝,Robusto Extra,Current,2022,,Handmade,Línea Open,slam,montecristo,,,,,,,,
Montecristo,No.1,Cervantes,42.0,165.0,6½,Lonsdale,Current,Pre-1960,,Handmade,,no.1,montecristo,,,,,,,,
Montecristo,No.2,Piramides,52.0,156.0,6⅛,Pyramid,Current,Pre-1960,,Handmade,Most famous pyramid,no.2,montecristo,,,,,,,,
Montecristo,No.3,Coronas,42.0,142.0,5⅝,Corona,Current,Pre-1960,,Handmade,,no.3,montecristo,,,,,,,,
Montecristo,No.4,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Best-selling Cuban cigar,no.4,montecristo,,,,,,,,
Montecristo,No.5,Perlas,40.0,102.0,4,Petit Corona,Current,Pre-1960,,Handmade,,no.5,montecristo,,,,,,,,
Montecristo,Tubos,Coronas Grandes,42.0,155.0,6⅛,Long Corona,Current,Pre-1960,,Handmade,Aluminum tubes,tubos,montecristo,,,,,,,,
Partagás,Serie P No.2,Piramides,52.0,156.0,6⅛,Pyramid,Current,1980s,,Handmade,Full strength,serie p no.2,partagás,,,,,,,,
Partagás,Serie E No.2,Duke,54.0,140.0,5½,Robusto Extra,Current,2011,,Handmade,Full strength,serie e no.2,partagás,,,,,,,,
Partagás,Serie D No.5,D No.5,50.0,110.0,4⅜,Petit Robusto,Current,2011,,Handmade,Full strength,serie d no.5,partagás,,,,,,,,
Partagás,Maduro No.1,Discretos,52.0,130.0,5⅛,Robusto,Current,2015,,Handmade,Línea Maduro,maduro no.1,partagás,,,,,,,,
Partagás,Maduro No.2,Short Piramides,55.0,120.0,4¾,Petit Pyramid,Current,2018,,Handmade,Línea Maduro,maduro no.2,partagás,,,,,,,,
Partagás,Maestro,Deleites,56.0,132.0,5¼,Robusto,Current,2023,,Handmade,Línea Maestra,maestro,partagás,,,,,,,,
Partagás,Origen,Bondadosos,46.0,154.0,6⅛,Grand Corona,Current,2023,,Handmade,Línea Maestra,origen,partagás,,,,,,,,
Partagás,8-9-8 (2),Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Full strength,8 9 8 (2),partagás,,,,,,,,
Partagás,Serie D No.4,Robustos,50.0,124.0,4⅞,Robusto,Current,Pre-1960,,Handmade,Full strength,serie d no.4,partagás,,,,,,,,
Partagás,Lusitanias,Prominentes,49.0,194.0,7⅝,Double Corona,Current,Pre-1960,,Handmade,Full strength,lusitanias,partagás,,,,,,,,
Partagás,Shorts,Gorditos,50.0,110.0,4⅜,Petit Robusto,Current,Pre-1960,,Handmade,Full strength,shorts,partagás,,,,,,,,
Partagás,Super Partagás,Piramides,52.0,156.0,6⅛,Pyramid,Current,Pre-1960,,Handmade,Full strength,super partagás,partagás,,,,,,,,
Partagás,Habaneros,Petit Coronas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Full strength,habaneros,partagás,,,,,,,,
Partagás,Presidentes,Julieta No.2,47.0,178.0,7,Churchill,Current,Pre-1960,,Handmade,Full strength,presidentes,partagás,,,,,,,,
Partagás de Partagás,No.1,Dalias,43.0,170.0,6¾,Lonsdale,Discontinued,Pre-1960,2006,Handmade,Historical Partagás premium line,no.1,partagás de partagás,,,,,,,,
Por Larrañaga,Montecarlos,Edmundo,52.0,135.0,5⅜,Robusto,Current,2007,,Handmade,Medium strength,montecarlos,por larrañaga,,,,,,,,
Por Larrañaga,Picadores,Cadetes,36.0,115.0,4½,Short Panetela,Current,2013,,Handmade,Medium strength,picadores,por larrañaga,,,,,,,,
Por Larrañaga,Petit Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Medium strength,petit coronas,por larrañaga,,,,,,,,
Por Sánchez,Coronas,Coronas,42.0,142.0,5⅝,Corona,Discontinued,Pre-1960,1970s,Handmade,,coronas,por sánchez,,,,,,,,
Punch,48,Geniales,54.0,150.0,5⅞,Robusto Extra,Current,2009,,Handmade,Medium strength,48,punch,,,,,,,,
Punch,Short de Punch,Petit Robustos,50.0,102.0,4,Petit Robusto,Current,2011,,Handmade,Medium strength,short de punch,punch,,,,,,,,
Punch,Punch Punch,Franciscanos,40.0,116.0,4⅝,Petit Corona,Current,Pre-1960,,Handmade,Medium strength,punch punch,punch,,,,,,,,
Punch,Coronations,Coronas,42.0,142.0,5⅝,Corona,Current,Pre-1960,,Handmade,Medium strength,coronations,punch,,,,,,,,
Punch,Royal Selection No.12,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Handmade,Medium strength,royal selection no.12,punch,,,,,,,,
Punch,Double Coronas,Prominentes,49.0,194.0,7⅝,Double Corona,Current,Pre-1960,,Handmade,Medium strength,double coronas,punch,,,,,,,,
Punch,Churchills,Julieta No.2,47.0,178.0,7,Churchill,Current,Pre-1960,,Handmade,Medium strength,churchills,punch,,,,,,,,
Punch,Super Selection No.2,Piramides,52.0,156.0,6⅛,Pyramid,Current,Pre-1960,,Handmade,Medium strength,super selection no.2,punch,,,,,,,,
Quai d'Orsay,Coronas Claro,Coronas,42.0,142.0,5⅝,Corona,Current,1974,,Handmade,Light strength - French market,coronas claro,quai d'orsay,,,,,,,,
Quai d'Orsay,No.50,D No.5,50.0,110.0,4⅜,Petit Robusto,Current,2017,,Handmade,Brand refresh 2017,no.50,quai d'orsay,,,,,,,,
Quai d'Orsay,No.54,Edmundo Grueso,54.0,135.0,5⅜,Robusto,Current,2017,,Handmade,Brand refresh 2017,no.54,quai d'orsay,,,,,,,,
Quai d'Orsay,No.52,Lanzas,52.0,156.0,6⅛,Robusto Extra,Current,2021,,Handmade,Light strength,no.52,quai d'orsay,,,,,,,,
Quintero,Favoritos,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Machine-made,Volume brand - budget,favoritos,quintero,,,,,,,,
Quintero,Panetelas,Conchitas,35.0,127.0,5,Short Panetela,Current,Pre-1960,,Machine-made,Volume brand - budget,panetelas,quintero,,,,,,,,
Quintero,Brevas,Franciscanos,40.0,116.0,4⅝,Petit Corona,Current,Pre-1960,,Machine-made,Volume brand - budget,brevas,quintero,,,,,,,,
Quintero,Tubulares,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Machine-made,Volume brand - tubes,tubulares,quintero,,,,,,,,
Quintero,Medias Coronas,Marevas,42.0,129.0,5⅛,Petit Corona,Current,Pre-1960,,Machine-made,Volume brand - budget,medias coronas,quintero,,,,,,,,
